City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,yining,29.0361,114.5636,12.57,97,96,0.68,CN,1679325151
158,kiunga,-6.1219,141.2906,22.93,100,100,1.53,PG,1679325151
159,evensk,61.95,159.2333,-19.12,76,54,4.27,RU,1679325151
160,lavrentiya,65.5833,-171.0,-5.51,95,100,12.83,RU,1679325152
161,dunedin,-45.8742,170.5036,12.11,67,73,1.34,NZ,1679325152
162,ketchikan,55.3422,-131.6461,4.99,93,100,4.63,US,1679325153
163,tasiilaq,65.6145,-37.6368,-6.91,71,67,3.23,GL,1679325153
164,poum,-20.2333,164.0167,26.15,69,5,4.3,NC,1679325154
165,terney,45.0503,136.6092,2.45,70,90,2.82,RU,1679325154
166,matara,5.9485,80.5353,25.84,80,100,0.96,LK,1679325154
167,mildura,-34.2,142.15,19.48,41,100,5.31,AU,1679325155
168,tahoua,14.8888,5.2692,36.38,19,78,8.4,NE,1679325155
169,luanda,-8.8368,13.2343,30.0,66,75,6.17,AO,1679325155
170,norman wells,65.282,-126.8329,-4.87,94,100,3.04,CA,1679325156
171,prainha,-1.8,-53.48,31.31,51,77,2.2,BR,1679325085
172,temascalcingo,19.9167,-100.0,12.65,38,0,1.72,MX,1679325156
173,cherskiy,68.75,161.3,-31.59,100,75,3.33,RU,1679325157
174,alegrete,-29.7831,-55.7919,32.15,48,32,2.72,BR,1679325157
175,cesvaine,56.9667,26.3167,8.43,82,92,2.18,LV,1679325157
176,sindor,62.8629,51.8905,-1.86,97,100,4.19,RU,1679325157
177,geraldton,-28.7667,114.6,22.23,88,100,2.57,AU,1679325158
178,nanortalik,60.1432,-45.2371,0.51,68,100,4.73,GL,1679325158
179,mantua,45.1667,10.7833,17.97,64,86,0.89,IT,1679325158
180,arraial do cabo,-22.9661,-42.0278,30.92,62,0,6.69,BR,1679325159
181,naze,28.3667,129.4833,18.3,77,100,5.35,JP,1679325159
182,arman,59.7,150.1667,-18.7,82,50,3.8,RU,1679325159
183,guipavas,48.4352,-4.3972,13.0,82,100,8.75,FR,1679325160
184,klaksvik,62.2266,-6.589,4.51,73,100,9.08,FO,1679325160
185,turayf,31.6725,38.6637,10.31,66,100,7.31,SA,1679325160
186,igrim,63.1906,64.4162,-5.66,95,17,1.78,RU,1679325161
187,abu zabad,12.35,29.25,35.3,8,98,6.85,SD,1679325161
188,barrow,71.2906,-156.7887,-14.99,85,100,4.12,US,1679325161
189,conceicao do araguaia,-8.2578,-49.2647,25.44,77,100,0.79,BR,1679325154
190,iqaluit,63.7506,-68.5145,-26.84,68,8,12.96,CA,1679325162
191,anadyr,64.75,177.4833,-13.72,84,75,8.0,RU,1679325162
192,pangody,65.85,74.4859,-4.32,90,100,8.14,RU,1679325162
193,harper,4.375,-7.7169,28.8,70,33,4.64,LR,1679325163
